property_id,property_name,location,property_type,number_of_bedrooms,bedroom_size,amenities,seasonality,base_price,estimated_monthly_bookings,bathrooms,bed_type,cancellation_policy,cleaning_fee,host_response_rate,number_of_reviews,review_scores_rating,beds,neighborhood
41011,School Four,North Jennifermouth,Villa,3,14.60367619644478,"['Garden view', 'TV', 'WiFi', 'Waterfront', 'Swimming Pool', 'Kitchen', 'Air Conditioning', 'Gym']",Autumn,3640.0148356502277,25,6,Double,Moderate,45.74077508375324,65,172,2,6,Downtown
86026,Read Such,East Jacqueline,Villa,1,17.774962847351432,"['Air Conditioning', 'Garden view', 'Canal view', 'WiFi']",Winter,3876.26341611377,100,1,Single,Flexible,10.242364551234107,64,392,5,3,Mountain View
85778,Provide Impact,Lake Charles,Cottage,4,17.38810149102167,"['Waterfront', 'Garden view', 'Parking', 'Air Conditioning', 'Canal view', 'WiFi', 'Swimming Pool', 'TV', 'Kitchen']",Autumn,117.25330306348205,68,7,Queen,Strict,22.28426773468207,65,406,4,6,Suburb
89251,Agency Design,New Lorichester,Cottage,5,11.328100450181855,"['Canal view', 'TV']",Summer,3365.6850282695277,95,5,Single,Moderate,18.642596157739785,52,161,1,6,Mountain View
6421,Arm No,Hernandezland,Apartment,4,25.69689420800715,"['Swimming Pool', 'Gym', 'WiFi', 'Garden view', 'Waterfront', 'Kitchen', 'Air Conditioning', 'TV', 'Parking']",Autumn,2497.215100386459,39,7,Single,Strict,11.793985164210191,86,397,2,8,Downtown
85297,Important Light,Kristiburgh,House,3,27.26606577402417,"['TV', 'Swimming Pool', 'Waterfront', 'Kitchen', 'Air Conditioning', 'Gym', 'Canal view']",Winter,936.5225853892424,57,7,Queen,Strict,39.32419102708274,80,247,1,5,Mountain View
93069,Argue After,Lake Thomasmouth,Apartment,5,10.08904421069757,"['Kitchen', 'Swimming Pool', 'Garden view', 'Waterfront', 'WiFi', 'Gym', 'TV', 'Air Conditioning', 'Canal view']",Summer,3571.8882147463555,91,6,Queen,Flexible,44.853171344700506,81,116,2,9,Waterfront
85352,Inside Probably,Port Sharonton,House,2,23.635880471627015,"['Air Conditioning', 'Swimming Pool', 'Garden view', 'Kitchen', 'WiFi']",Winter,2388.610507629859,27,4,Queen,Moderate,26.17145962472364,98,265,5,4,Mountain View
81529,Visit Reach,Dillonmouth,Apartment,5,20.56461086690826,"['Air Conditioning', 'TV', 'Garden view', 'Parking', 'Kitchen', 'Gym']",Winter,1563.1520881808515,67,9,Single,Strict,45.98356285064711,83,61,4,6,Suburb
84222,Amount Among,West Walter,Villa,1,24.812074321261335,"['Gym', 'Waterfront', 'Kitchen']",Autumn,3868.084157156849,16,5,King,Strict,19.296463909738094,84,25,3,5,Downtown
56386,Especially Road,Lake Joseph,House,2,12.841552279400874,['Air Conditioning'],Summer,2576.970754013329,78,2,Queen,Moderate,43.39553842808313,90,161,2,5,Suburb
89618,Report Cup,Lake George,Cottage,2,26.121747981066154,"['Swimming Pool', 'WiFi', 'Parking', 'Kitchen', 'Garden view', 'Waterfront']",Winter,4387.614755905641,37,6,King,Moderate,30.987718204603656,87,431,5,5,Mountain View
6021,Road Defense,North Cheryl,House,1,29.321820895200567,"['Air Conditioning', 'Swimming Pool', 'Parking', 'Garden view', 'TV', 'WiFi', 'Waterfront', 'Canal view']",Summer,4437.168407501215,67,2,Queen,Flexible,16.027405807269794,77,103,5,3,Suburb
21927,Remain Entire,West Leah,Cottage,5,12.890838001773348,"['Canal view', 'WiFi', 'Air Conditioning']",Winter,3608.408388034154,15,9,Queen,Strict,47.72662900609377,88,375,2,6,Mountain View
26852,And Still,Faithchester,House,1,28.740132249357202,"['Kitchen', 'Gym', 'WiFi', 'TV', 'Waterfront', 'Canal view', 'Air Conditioning']",Autumn,1446.3501717102895,91,4,Double,Flexible,39.533807062849164,82,159,2,5,Mountain View
27284,Discuss Else,Crosbyview,House,5,15.314677356832329,"['Canal view', 'Air Conditioning', 'WiFi', 'Garden view', 'Swimming Pool']",Summer,2464.192386467562,62,7,King,Moderate,46.106726359610285,67,318,4,7,Downtown
10567,Western Military,North Cameron,House,1,16.390873484006637,"['Swimming Pool', 'Waterfront', 'Parking', 'Gym', 'TV', 'Garden view', 'Canal view', 'WiFi']",Winter,3129.1764379295414,47,3,Double,Flexible,22.174244818190004,69,302,3,2,Downtown
89393,Herself Major,Lindseyberg,Villa,2,28.01590356214791,"['Swimming Pool', 'TV', 'Canal view', 'Parking', 'Kitchen', 'WiFi', 'Waterfront']",Autumn,3717.1256109600863,28,5,Double,Flexible,35.87760558016734,97,225,2,6,Mountain View
84649,Tv Gun,Lake Williamburgh,Villa,2,17.09941224718628,['Parking'],Autumn,3486.556926268928,12,6,Single,Flexible,48.67891703212606,52,355,1,3,Mountain View
11508,Difficult Sell,Ericberg,House,4,14.22518230742404,"['Canal view', 'Gym', 'TV', 'Garden view', 'Swimming Pool', 'Waterfront', 'Air Conditioning', 'Parking', 'WiFi']",Autumn,1243.533702850928,48,6,Queen,Flexible,14.306806259378494,87,316,3,7,Downtown
92517,Campaign People,Port Austin,House,3,10.599812490604021,"['Gym', 'Swimming Pool', 'TV', 'Waterfront', 'Garden view', 'Air Conditioning', 'Canal view', 'Kitchen']",Summer,4880.131043430735,46,5,Double,Strict,47.759565447386755,84,357,5,5,Waterfront
23431,Blood Knowledge,Lake Amybury,House,5,28.05165077581988,['Waterfront'],Summer,2077.558269658483,14,5,King,Flexible,38.16325113675974,90,332,1,7,Downtown
6629,Structure A,New Drew,House,4,27.038196609636906,"['Kitchen', 'Waterfront', 'Air Conditioning', 'Gym', 'Parking', 'Swimming Pool', 'Canal view', 'WiFi']",Summer,1534.450749356031,38,8,King,Strict,24.57575585078175,67,218,2,5,Mountain View
26732,Cause Full,New Maryside,Cottage,4,11.012583934706278,"['Canal view', 'WiFi', 'TV', 'Waterfront', 'Swimming Pool']",Summer,3535.777973440254,69,4,King,Strict,20.557090307600575,67,473,1,7,Downtown
36405,American Or,East Deanna,Cottage,4,27.664578503411054,"['Gym', 'Parking', 'Air Conditioning', 'Swimming Pool']",Winter,1312.5483011713477,64,5,Queen,Strict,12.272340679043783,69,169,2,5,Downtown
25338,Five Walk,Amandamouth,Cottage,3,12.638263611857678,"['Garden view', 'Swimming Pool']",Autumn,4099.589818233577,60,3,Queen,Flexible,29.793714001632118,59,96,3,5,Downtown
61477,Order Concern,West Douglas,Villa,3,17.43739841535964,"['Parking', 'Air Conditioning', 'Waterfront', 'Kitchen', 'WiFi', 'Swimming Pool', 'Canal view', 'TV', 'Garden view']",Winter,2826.400070684979,33,7,King,Strict,31.93429827151924,68,136,3,6,Waterfront
34460,Effect Building,Port Karenview,Villa,3,28.829585682951674,"['Parking', 'Swimming Pool', 'Waterfront', 'Air Conditioning', 'Canal view', 'Kitchen', 'Garden view']",Winter,2587.4419703195344,41,4,Single,Flexible,37.0959499313562,72,129,1,4,Suburb
50519,Own Hospital,East Danny,Cottage,1,13.7887315354933,"['TV', 'Gym', 'Parking', 'WiFi', 'Waterfront']",Winter,4534.5554226368495,60,5,Single,Moderate,12.350613967853171,88,183,4,5,Waterfront
96924,Me Today,West Julie,Apartment,1,29.349514456497637,"['Swimming Pool', 'WiFi', 'Air Conditioning', 'TV', 'Waterfront', 'Garden view', 'Canal view', 'Parking']",Summer,2476.4387711566574,80,1,Single,Flexible,32.84949718246749,74,102,1,3,Downtown
62669,Must Act,Monteschester,Villa,5,14.900658163869746,"['TV', 'Kitchen', 'Canal view', 'Parking', 'WiFi', 'Air Conditioning', 'Garden view', 'Gym']",Summer,1487.9451104835393,72,6,Queen,Flexible,42.737068338484576,97,473,2,9,Waterfront
96156,Admit Happen,West Patrickborough,House,4,19.470589170881645,"['Canal view', 'TV', 'Swimming Pool', 'Air Conditioning', 'Waterfront', 'Gym', 'Kitchen', 'WiFi', 'Garden view', 'Parking']",Autumn,4191.701414695382,64,5,Queen,Flexible,34.65280774903502,50,244,2,7,Waterfront
17659,Clear Group,Stephanieville,Cottage,4,19.552787715212933,"['TV', 'Swimming Pool', 'Kitchen', 'Air Conditioning', 'Waterfront', 'Parking', 'WiFi', 'Canal view']",Summer,699.8208516746703,94,6,Double,Moderate,36.89889584892172,68,275,1,5,Waterfront
8498,Any Worry,Calhounfort,House,2,26.48938793395229,"['WiFi', 'Swimming Pool', 'Waterfront', 'Garden view', 'Air Conditioning', 'Parking', 'Canal view']",Autumn,251.10702973372452,43,3,Queen,Strict,17.791655454681447,65,287,5,4,Waterfront
91618,Hard Listen,Port Angelicabury,Villa,3,19.04464760553065,"['WiFi', 'Canal view', 'Swimming Pool', 'Kitchen', 'Parking', 'Air Conditioning', 'Gym']",Summer,122.04089256584092,26,3,Queen,Strict,11.334498709386128,97,341,3,6,Suburb
13143,Him Play,Adamside,Villa,4,18.2442628532349,"['Gym', 'Waterfront']",Summer,1661.094328939599,72,5,Queen,Strict,35.704799636543484,55,138,2,5,Suburb
58960,Hospital Job,West Maryfort,Villa,4,19.8000615035156,"['Swimming Pool', 'Kitchen', 'Parking', 'Canal view', 'Air Conditioning']",Winter,3172.516405297722,64,4,King,Strict,26.25739002823491,83,450,1,5,Downtown
